label,text
ham,"Hi, let's meet the schedule today."
ham,"Hello, let's discuss the schedule soon."
spam,"Congratulations! You get ₹10,000. Act fast!"
ham,"Hello, let's review the project today."
ham,"Hi, let's meet the schedule tomorrow."
ham,"Hello, let's discuss the plan soon."
spam,Urgent! You receive a reward. Claim now!
ham,"Hi, let's discuss the plan today."
spam,Congratulations! You get a reward. Claim now!
spam,"Congratulations! You get ₹10,000. Act fast!"
ham,"Hi, let's meet the schedule soon."
ham,"Hi, let's discuss the schedule today."
spam,Limited Offer! You get a reward. Claim now!
ham,"Hello, let's discuss the project soon."
spam,Urgent! You get a free gift. Claim now!
ham,"Hello, let's meet the plan tomorrow."
spam,Congratulations! You receive a free gift. Click now!
spam,"Urgent! You get ₹10,000. Claim now!"
spam,Limited Offer! You won a free gift. Click now!
spam,Congratulations! You get a reward. Act fast!
spam,Urgent! You won a free gift. Click now!
ham,"Hello, let's review the project today."
ham,"Hi, let's review the plan soon."
spam,Urgent! You won a free gift. Click now!
ham,"Hi, let's meet the project tomorrow."
ham,"Hi, let's meet the project tomorrow."
spam,Urgent! You receive a free gift. Act fast!
spam,"Limited Offer! You get ₹10,000. Click now!"
spam,"Limited Offer! You get ₹10,000. Click now!"
spam,"Limited Offer! You won ₹10,000. Act fast!"
spam,Urgent! You receive a reward. Click now!
ham,"Hi, let's review the schedule soon."
ham,"Hello, let's discuss the schedule today."
ham,"Hello, let's meet the schedule today."
ham,"Hello, let's discuss the plan tomorrow."
ham,"Hi, let's meet the schedule today."
spam,"Urgent! You get ₹10,000. Act fast!"
ham,"Hi, let's review the project soon."
ham,"Hello, let's meet the schedule today."
ham,"Hello, let's meet the plan soon."
ham,"Hello, let's discuss the schedule soon."
ham,"Hello, let's discuss the project tomorrow."
spam,Congratulations! You get a free gift. Claim now!
ham,"Hello, let's discuss the schedule soon."
spam,Congratulations! You get a reward. Click now!
ham,"Hello, let's meet the schedule today."
spam,Urgent! You get a free gift. Click now!
ham,"Hello, let's meet the project tomorrow."
ham,"Hi, let's review the project tomorrow."
spam,"Urgent! You won ₹10,000. Act fast!"
spam,Congratulations! You get a reward. Click now!
ham,"Hi, let's review the plan tomorrow."
spam,"Urgent! You won ₹10,000. Claim now!"
spam,Congratulations! You get a free gift. Click now!
