label,text
spam,"Congratulations! You have won a $1000 gift card. Click here to claim now."
ham,"Hi team, please find the meeting agenda attached for tomorrow morning."
spam,"Urgent: your account has been suspended. Verify your password immediately."
ham,"Can we reschedule lunch to 1 PM? I have a client call at noon."
spam,"You are selected for a free vacation package. Limited time offer!"
ham,"Reminder: submit your project report by Friday evening."
spam,"Earn money fast from home with no experience required."
ham,"Thanks for sending the notes. They were very helpful for exam prep."
spam,"Lowest mortgage rates available now. Refinance and save big today."
ham,"Please review the pull request when you get a chance."
spam,"Winner announcement! Claim your cash prize before it expires."
ham,"Let's catch up this weekend. Are you free on Saturday?"
spam,"Get cheap medicines online without prescription. Order now!"
ham,"The server maintenance window starts at 10 PM tonight."
spam,"Your package is waiting. Pay a small fee to release delivery."
ham,"I shared the slides in the class drive folder."
spam,"Exclusive investment secret guarantees huge returns in days."
ham,"Could you send me the latest sales numbers for Q2?"
spam,"Act now! Double your income using this simple trick."
ham,"Happy birthday! Wishing you a great year ahead."
spam,"You have been pre-approved for an instant loan. Apply now."
ham,"The assignment rubric was updated on the portal."
spam,"Final warning: confirm your bank details to avoid account closure."
ham,"Dinner at our place tonight? Bring your favorite dessert."
spam,"Claim free crypto tokens by connecting your wallet today."
ham,"I will be out of office on Monday and Tuesday."
spam,"Hot singles in your area waiting to chat now."
ham,"Can you proofread my statement of purpose draft?"
spam,"Immediate action required: tax refund pending. Submit form now."
ham,"Your interview is scheduled for 3:30 PM next Wednesday."
spam,"This is not a scam. Send your details to receive inheritance funds."
ham,"Please update the documentation for the new API endpoint."
spam,"Get premium streaming access for free. No payment needed."
ham,"Class is moved to Room 204 due to renovation work."
spam,"Special discount ends tonight. Buy one get three free."
ham,"The invoice has been paid. Thanks for the quick turnaround."
spam,"Security alert: unusual sign in detected. Confirm identity now."
ham,"I uploaded the cleaned dataset to the repository."
spam,"Limited spots left for guaranteed exam leak papers."
ham,"Great work on the presentation today."
